id,Label,City,Longitude,Latitude
144,中华世纪坛,Beijing,116.327888489,39.9173622131
145,夕照寺,Beijing,116.445892334,39.8952980042
147,九门小吃街,Beijing,116.415756226,39.9175796509
148,保利艺术博物馆,Beijing,116.439208984,39.938533783
150,首都体育馆,Beijing,116.333946228,39.9459037781
151,明城墙遗址公园,Beijing,116.440368652,39.9075202942
152,永定门,Beijing,116.405799866,39.8791236877
154,劳动人民文化宫,Beijing,116.40650177,39.9173469543
155,永定河峡谷,Beijing,115.814117432,40.0571327209
158,北京历代帝王庙,Beijing,116.373924255,39.9300193787
159,中国地质博物馆,Beijing,116.378669739,39.9293556213
160,八达岭残长城,Beijing,115.983505249,40.3678359985
162,先农坛,Beijing,116.400238037,39.8831176758
163,北京规划展览馆,Beijing,116.407867432,39.906337738
164,古观象台,Beijing,116.440849304,39.9134674072
165,慕田峪长城,Beijing,116.571769714,40.4408874512
167,皇家御河游船码头,Beijing,116.390190124,39.8821678162
